onset	duration	sample	mvc_rate	mvc_level	event_type	description
11.343262	0.0	23231	n/a	n/a	muscle_on	Time at which the muscle is activated.
11.343262	10.0	23231	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 10.0 s) of the isometric torque starting at 0 % MVC.
21.343262	15.0	43711	0.0	50.0	steady_isometric	Steady isometric torque at 50% MVC for 15 s
31.343262	10.0	64191	-5.0	50.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 10.0 s) of the isometric torque starting at 50 % MVC.
41.343262	0.0	84671	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
