onset	duration	sample	mvc_rate	mvc_level	event_type	description
12.592773	0.0	25790	n/a	n/a	muscle_on	Time at which the muscle is activated.
12.592773	6.0	25790	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 6.0 s) of the isometric torque starting at 0 % MVC.
18.59375	20.0	38080	0.0	30.0	steady_isometric	Steady isometric torque at 30% MVC for 20 s
38.592773	6.0	79038	-5.0	30.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 6.0 s) of the isometric torque starting at 30 % MVC.
44.59375	0.0	91328	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
