onset	duration	sample	mvc_rate	mvc_level	event_type	description
11.155762	0.0	22847	n/a	n/a	muscle_on	Time at which the muscle is activated.
11.155762	14.0	22847	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 14.0 s) of the isometric torque starting at 0 % MVC.
25.155762	10.0	51519	0.0	70.0	steady_isometric	Steady isometric torque at 70% MVC for 10 s
35.155762	14.0	71999	-5.0	70.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 14.0 s) of the isometric torque starting at 70 % MVC.
49.155762	0.0	100671	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
