onset	duration	sample	mvc_rate	mvc_level	event_type	description
8.968262	0.0	18367	n/a	n/a	muscle_on	Time at which the muscle is activated.
8.968262	12.0	18367	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 12.0 s) of the isometric torque starting at 0 % MVC.
20.968262	15.0	42943	0.0	60.0	steady_isometric	Steady isometric torque at 60% MVC for 15 s
30.968262	12.0	63423	-5.0	60.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 12.0 s) of the isometric torque starting at 60 % MVC.
42.968262	0.0	87999	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
