onset	duration	sample	mvc_rate	mvc_level	event_type	description
5.718262	0.0	11711	n/a	n/a	muscle_on	Time at which the muscle is activated.
5.718262	12.0	11711	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 12.0 s) of the isometric torque starting at 0 % MVC.
17.718262	15.0	36287	0.0	60.0	steady_isometric	Steady isometric torque at 60% MVC for 15 s
32.718262	12.0	67007	-5.0	60.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 12.0 s) of the isometric torque starting at 60 % MVC.
44.718262	0.0	91583	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
