onset	duration	sample	mvc_rate	mvc_level	event_type	description
5.905762	0.0	12095	n/a	n/a	muscle_on	Time at which the muscle is activated.
5.905762	12.0	12095	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 12.0 s) of the isometric torque starting at 0 % MVC.
17.905762	15.0	36671	0.0	60.0	steady_isometric	Steady isometric torque at 60% MVC for 15 s
32.905762	12.0	67391	-5.0	60.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 12.0 s) of the isometric torque starting at 60 % MVC.
44.905762	0.0	91967	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
