onset	duration	sample	mvc_rate	mvc_level	event_type	description
5.968262	0.0	12223	n/a	n/a	muscle_on	Time at which the muscle is activated.
5.968262	16.0	12223	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 16.0 s) of the isometric torque starting at 0 % MVC.
21.968262	10.0	44991	0.0	80.0	steady_isometric	Steady isometric torque at 80% MVC for 10 s
31.968262	16.0	65471	-5.0	80.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 16.0 s) of the isometric torque starting at 80 % MVC.
47.968262	0.0	98239	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
