onset	duration	sample	mvc_rate	mvc_level	event_type	description
3.655762	0.0	7487	n/a	n/a	muscle_on	Time at which the muscle is activated.
3.655762	10.0	7487	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 10.0 s) of the isometric torque starting at 0 % MVC.
13.655762	15.0	27967	0.0	50.0	steady_isometric	Steady isometric torque at 50% MVC for 15 s
28.655762	10.0	58687	-5.0	50.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 10.0 s) of the isometric torque starting at 50 % MVC.
38.655762	0.0	79167	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
