onset	duration	sample	mvc_rate	mvc_level	event_type	description
5.905273	0.0	12094	n/a	n/a	muscle_on	Time at which the muscle is activated.
5.905273	4.0	12094	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 4.0 s) of the isometric torque starting at 0 % MVC.
9.90625	20.0	20288	0.0	20.0	steady_isometric	Steady isometric torque at 20% MVC for 20 s
29.905273	4.0	61246	-5.0	20.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 4.0 s) of the isometric torque starting at 20 % MVC.
33.90625	0.0	69440	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
