onset	duration	sample	mvc_rate	mvc_level	event_type	description
11.967773	0.0	24510	n/a	n/a	muscle_on	Time at which the muscle is activated.
11.967773	8.0	24510	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 8.0 s) of the isometric torque starting at 0 % MVC.
19.96875	20.0	40896	0.0	40.0	steady_isometric	Steady isometric torque at 40% MVC for 20 s
39.968262	8.0	81855	-5.0	40.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 8.0 s) of the isometric torque starting at 40 % MVC.
47.968262	0.0	98239	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
