name	x	y	coordinate_system
E076	200.0	72.0	grid1
E077	200.0	64.0	grid1
E078	192.0	64.0	grid1
E079	184.0	64.0	grid1
E080	176.0	64.0	grid1
E081	168.0	64.0	grid1
E082	160.0	64.0	grid1
E083	152.0	64.0	grid1
E084	144.0	64.0	grid1
E085	136.0	64.0	grid1
E086	128.0	64.0	grid1
E087	120.0	64.0	grid1
E088	112.0	64.0	grid1
E089	104.0	64.0	grid1
E090	104.0	56.0	grid1
E091	112.0	56.0	grid1
E092	120.0	56.0	grid1
E093	128.0	56.0	grid1
E094	136.0	56.0	grid1
E095	144.0	56.0	grid1
E096	152.0	56.0	grid1
E097	160.0	56.0	grid1
E098	168.0	56.0	grid1
E099	176.0	56.0	grid1
E100	184.0	56.0	grid1
E101	192.0	56.0	grid1
E102	200.0	56.0	grid1
E103	200.0	48.0	grid1
E104	192.0	48.0	grid1
E105	184.0	48.0	grid1
E106	176.0	48.0	grid1
E107	168.0	48.0	grid1
E108	160.0	48.0	grid1
E109	152.0	48.0	grid1
E110	144.0	48.0	grid1
E111	136.0	48.0	grid1
E112	128.0	48.0	grid1
E113	120.0	48.0	grid1
E114	112.0	48.0	grid1
E115	104.0	48.0	grid1
E116	104.0	40.0	grid1
E117	112.0	40.0	grid1
E118	120.0	40.0	grid1
E119	128.0	40.0	grid1
E120	136.0	40.0	grid1
E121	144.0	40.0	grid1
E122	152.0	40.0	grid1
E123	160.0	40.0	grid1
E124	168.0	40.0	grid1
E125	176.0	40.0	grid1
E126	184.0	40.0	grid1
E127	192.0	40.0	grid1
E128	200.0	40.0	grid1
E129	112.0	32.0	grid1
E130	120.0	32.0	grid1
E131	128.0	32.0	grid1
E132	136.0	32.0	grid1
E133	144.0	32.0	grid1
E134	152.0	32.0	grid1
E135	160.0	32.0	grid1
E136	168.0	32.0	grid1
E137	176.0	32.0	grid1
E138	184.0	32.0	grid1
E139	192.0	32.0	grid1
E140	200.0	32.0	grid1
E141	200.0	24.0	grid1
E142	192.0	24.0	grid1
E143	184.0	24.0	grid1
E144	176.0	24.0	grid1
E145	168.0	24.0	grid1
E146	160.0	24.0	grid1
E147	152.0	24.0	grid1
E148	144.0	24.0	grid1
E149	136.0	24.0	grid1
E150	128.0	24.0	grid1
E151	120.0	24.0	grid1
E152	112.0	24.0	grid1
E153	104.0	24.0	grid1
E154	104.0	16.0	grid1
E155	112.0	16.0	grid1
E156	120.0	16.0	grid1
E157	128.0	16.0	grid1
E158	136.0	16.0	grid1
E159	144.0	16.0	grid1
E160	152.0	16.0	grid1
E161	160.0	16.0	grid1
E162	168.0	16.0	grid1
E163	176.0	16.0	grid1
E164	184.0	16.0	grid1
E165	192.0	16.0	grid1
E166	200.0	16.0	grid1
E167	200.0	8.0	grid1
E168	192.0	8.0	grid1
E169	184.0	8.0	grid1
E170	176.0	8.0	grid1
E171	168.0	8.0	grid1
E172	160.0	8.0	grid1
E173	152.0	8.0	grid1
E174	144.0	8.0	grid1
E175	136.0	8.0	grid1
E176	128.0	8.0	grid1
E177	120.0	8.0	grid1
E178	112.0	8.0	grid1
E179	104.0	8.0	grid1
E180	104.0	0.0	grid1
E181	112.0	0.0	grid1
E182	120.0	0.0	grid1
E183	128.0	0.0	grid1
E184	136.0	0.0	grid1
E185	144.0	0.0	grid1
E186	152.0	0.0	grid1
E187	160.0	0.0	grid1
E188	168.0	0.0	grid1
E189	176.0	0.0	grid1
E190	184.0	0.0	grid1
E191	192.0	0.0	grid1
E192	200.0	0.0	grid1
E193	88.0	40.0	grid1
E194	80.0	40.0	grid1
E195	72.0	40.0	grid1
E196	64.0	40.0	grid1
E197	56.0	40.0	grid1
E198	48.0	40.0	grid1
E199	40.0	40.0	grid1
E200	32.0	40.0	grid1
E201	24.0	40.0	grid1
E202	16.0	40.0	grid1
E203	8.0	40.0	grid1
E204	0.0	40.0	grid1
E205	0.0	48.0	grid1
E206	8.0	48.0	grid1
E207	16.0	48.0	grid1
E208	24.0	48.0	grid1
E209	32.0	48.0	grid1
E210	40.0	48.0	grid1
E211	48.0	48.0	grid1
E212	56.0	48.0	grid1
E213	64.0	48.0	grid1
E214	72.0	48.0	grid1
E215	80.0	48.0	grid1
E216	88.0	48.0	grid1
E217	96.0	48.0	grid1
E218	96.0	56.0	grid1
E219	88.0	56.0	grid1
E220	80.0	56.0	grid1
E221	72.0	56.0	grid1
E222	64.0	56.0	grid1
E223	56.0	56.0	grid1
E224	48.0	56.0	grid1
E225	40.0	56.0	grid1
E226	32.0	56.0	grid1
E227	24.0	56.0	grid1
E228	16.0	56.0	grid1
E229	8.0	56.0	grid1
E230	0.0	56.0	grid1
E231	0.0	64.0	grid1
E232	8.0	64.0	grid1
E233	16.0	64.0	grid1
E234	24.0	64.0	grid1
E235	32.0	64.0	grid1
E236	40.0	64.0	grid1
E237	48.0	64.0	grid1
E238	56.0	64.0	grid1
E239	64.0	64.0	grid1
E240	72.0	64.0	grid1
E241	80.0	64.0	grid1
E242	88.0	64.0	grid1
E243	96.0	64.0	grid1
E244	96.0	72.0	grid1
E245	88.0	72.0	grid1
E246	80.0	72.0	grid1
E247	72.0	72.0	grid1
E248	64.0	72.0	grid1
E249	56.0	72.0	grid1
E250	48.0	72.0	grid1
E251	40.0	72.0	grid1
E252	32.0	72.0	grid1
E253	24.0	72.0	grid1
E254	16.0	72.0	grid1
E255	8.0	72.0	grid1
E256	0.0	72.0	grid1
R1	90.0	0.0	lowerLeg
R2	95.0	0.0	lowerLeg
