name	x	y	coordinate_system
E001	88.0	0.0	grid1
E002	80.0	0.0	grid1
E003	72.0	0.0	grid1
E004	64.0	0.0	grid1
E005	56.0	0.0	grid1
E006	48.0	0.0	grid1
E007	40.0	0.0	grid1
E008	32.0	0.0	grid1
E009	24.0	0.0	grid1
E010	16.0	0.0	grid1
E011	8.0	0.0	grid1
E012	0.0	0.0	grid1
E013	0.0	8.0	grid1
E014	8.0	8.0	grid1
E015	16.0	8.0	grid1
E016	24.0	8.0	grid1
E017	32.0	8.0	grid1
E018	40.0	8.0	grid1
E019	48.0	8.0	grid1
E020	56.0	8.0	grid1
E021	64.0	8.0	grid1
E022	72.0	8.0	grid1
E023	80.0	8.0	grid1
E024	88.0	8.0	grid1
E025	96.0	8.0	grid1
E026	96.0	16.0	grid1
E027	88.0	16.0	grid1
E028	80.0	16.0	grid1
E029	72.0	16.0	grid1
E030	64.0	16.0	grid1
E031	56.0	16.0	grid1
E032	48.0	16.0	grid1
E033	40.0	16.0	grid1
E034	32.0	16.0	grid1
E035	24.0	16.0	grid1
E036	16.0	16.0	grid1
E037	8.0	16.0	grid1
E038	0.0	16.0	grid1
E039	0.0	24.0	grid1
E040	8.0	24.0	grid1
E041	16.0	24.0	grid1
E042	24.0	24.0	grid1
E043	32.0	24.0	grid1
E044	40.0	24.0	grid1
E045	48.0	24.0	grid1
E046	56.0	24.0	grid1
E047	64.0	24.0	grid1
E048	72.0	24.0	grid1
E049	80.0	24.0	grid1
E050	88.0	24.0	grid1
E051	96.0	24.0	grid1
E052	96.0	32.0	grid1
E053	88.0	32.0	grid1
E054	80.0	32.0	grid1
E055	72.0	32.0	grid1
E056	64.0	32.0	grid1
E057	56.0	32.0	grid1
E058	48.0	32.0	grid1
E059	40.0	32.0	grid1
E060	32.0	32.0	grid1
E061	24.0	32.0	grid1
E062	16.0	32.0	grid1
E063	8.0	32.0	grid1
E064	0.0	32.0	grid1
E065	112.0	72.0	grid1
E066	120.0	72.0	grid1
E067	128.0	72.0	grid1
E068	136.0	72.0	grid1
E069	144.0	72.0	grid1
E070	152.0	72.0	grid1
E071	160.0	72.0	grid1
E072	168.0	72.0	grid1
E073	176.0	72.0	grid1
E074	184.0	72.0	grid1
E075	192.0	72.0	grid1
