name	type	units	description	sampling_frequency	signal_electrode	reference	group	target_muscle	interelectrode_distance	low_cutoff	high_cutoff	status
Ch01	EMG	mV	monopolar EMG	2048.0	E001	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch02	EMG	mV	monopolar EMG	2048.0	E002	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch03	EMG	mV	monopolar EMG	2048.0	E003	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch04	EMG	mV	monopolar EMG	2048.0	E004	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch05	EMG	mV	monopolar EMG	2048.0	E005	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch06	EMG	mV	monopolar EMG	2048.0	E006	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch07	EMG	mV	monopolar EMG	2048.0	E007	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch08	EMG	mV	monopolar EMG	2048.0	E008	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch09	EMG	mV	monopolar EMG	2048.0	E009	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch10	EMG	mV	monopolar EMG	2048.0	E010	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch11	EMG	mV	monopolar EMG	2048.0	E011	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch12	EMG	mV	monopolar EMG	2048.0	E012	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch13	EMG	mV	monopolar EMG	2048.0	E013	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch14	EMG	mV	monopolar EMG	2048.0	E014	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch15	EMG	mV	monopolar EMG	2048.0	E015	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch16	EMG	mV	monopolar EMG	2048.0	E016	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch17	EMG	mV	monopolar EMG	2048.0	E017	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch18	EMG	mV	monopolar EMG	2048.0	E018	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch19	EMG	mV	monopolar EMG	2048.0	E019	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch20	EMG	mV	monopolar EMG	2048.0	E020	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch21	EMG	mV	monopolar EMG	2048.0	E021	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch22	EMG	mV	monopolar EMG	2048.0	E022	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch23	EMG	mV	monopolar EMG	2048.0	E023	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch24	EMG	mV	monopolar EMG	2048.0	E024	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch25	EMG	mV	monopolar EMG	2048.0	E025	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch26	EMG	mV	monopolar EMG	2048.0	E026	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch27	EMG	mV	monopolar EMG	2048.0	E027	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch28	EMG	mV	monopolar EMG	2048.0	E028	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch29	EMG	mV	monopolar EMG	2048.0	E029	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch30	EMG	mV	monopolar EMG	2048.0	E030	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch31	EMG	mV	monopolar EMG	2048.0	E031	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch32	EMG	mV	monopolar EMG	2048.0	E032	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch33	EMG	mV	monopolar EMG	2048.0	E033	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch34	EMG	mV	monopolar EMG	2048.0	E034	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch35	EMG	mV	monopolar EMG	2048.0	E035	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
Ch36	EMG	mV	monopolar EMG	2048.0	E036	R1	Grid1	right vastus lateralis	8.0	500.0	20.0	n/a
