onset	duration	sample	mvc_rate	mvc_level	event_type	description
3.780762	0.0	7743	n/a	n/a	muscle_on	Time at which the muscle is activated.
3.780762	14.0	7743	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 14.0 s) of the isometric torque starting at 0 % MVC.
17.780762	10.0	36415	0.0	70.0	steady_isometric	Steady isometric torque at 70% MVC for 10 s
27.780762	14.0	56895	-5.0	70.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 14.0 s) of the isometric torque starting at 70 % MVC.
41.780762	0.0	85567	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
