onset	duration	sample	mvc_rate	mvc_level	event_type	description
3.717773	0.0	7614	n/a	n/a	muscle_on	Time at which the muscle is activated.
3.717773	6.0	7614	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 6.0 s) of the isometric torque starting at 0 % MVC.
9.71875	20.0	19904	0.0	30.0	steady_isometric	Steady isometric torque at 30% MVC for 20 s
29.717773	6.0	60862	-5.0	30.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 6.0 s) of the isometric torque starting at 30 % MVC.
35.71875	0.0	73152	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
