onset	duration	sample	mvc_rate	mvc_level	event_type	description
3.593262	0.0	7359	n/a	n/a	muscle_on	Time at which the muscle is activated.
3.593262	16.0	7359	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 16.0 s) of the isometric torque starting at 0 % MVC.
19.593262	10.0	40127	0.0	80.0	steady_isometric	Steady isometric torque at 80% MVC for 10 s
29.593262	16.0	60607	-5.0	80.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 16.0 s) of the isometric torque starting at 80 % MVC.
45.593262	0.0	93375	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
