onset	duration	sample	mvc_rate	mvc_level	event_type	description
11.154785	0.0	22845	n/a	n/a	muscle_on	Time at which the muscle is activated.
11.154785	2.0	22845	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 2.0 s) of the isometric torque starting at 0 % MVC.
13.156738	20.0	26945	0.0	10.0	steady_isometric	Steady isometric torque at 10% MVC for 20 s
33.154785	2.0	67901	-5.0	10.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 2.0 s) of the isometric torque starting at 10 % MVC.
35.156738	0.0	72001	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
