onset	duration	sample	mvc_rate	mvc_level	event_type	description
4.217773	0.0	8638	n/a	n/a	muscle_on	Time at which the muscle is activated.
4.217773	6.0	8638	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 6.0 s) of the isometric torque starting at 0 % MVC.
10.21875	20.0	20928	0.0	30.0	steady_isometric	Steady isometric torque at 30% MVC for 20 s
30.217773	6.0	61886	-5.0	30.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 6.0 s) of the isometric torque starting at 30 % MVC.
36.21875	0.0	74176	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
