onset	duration	sample	mvc_rate	mvc_level	event_type	description
4.843262	0.0	9919	n/a	n/a	muscle_on	Time at which the muscle is activated.
4.843262	12.0	9919	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 12.0 s) of the isometric torque starting at 0 % MVC.
16.843262	15.0	34495	0.0	60.0	steady_isometric	Steady isometric torque at 60% MVC for 15 s
31.843262	12.0	65215	-5.0	60.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 12.0 s) of the isometric torque starting at 60 % MVC.
43.843262	0.0	89791	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
