onset	duration	sample	mvc_rate	mvc_level	event_type	description
4.030762	0.0	8255	n/a	n/a	muscle_on	Time at which the muscle is activated.
4.030762	16.0	8255	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 16.0 s) of the isometric torque starting at 0 % MVC.
20.030762	10.0	41023	0.0	80.0	steady_isometric	Steady isometric torque at 80% MVC for 10 s
30.030762	16.0	61503	-5.0	80.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 16.0 s) of the isometric torque starting at 80 % MVC.
46.030762	0.0	94271	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
