name	x	y	coordinate_system
E086	64.0	32.0	grid1
E087	60.0	32.0	grid1
E088	56.0	32.0	grid1
E089	52.0	32.0	grid1
E090	52.0	28.0	grid1
E091	56.0	28.0	grid1
E092	60.0	28.0	grid1
E093	64.0	28.0	grid1
E094	68.0	28.0	grid1
E095	72.0	28.0	grid1
E096	76.0	28.0	grid1
E097	80.0	28.0	grid1
E098	84.0	28.0	grid1
E099	88.0	28.0	grid1
E100	92.0	28.0	grid1
E101	96.0	28.0	grid1
E102	100.0	28.0	grid1
E103	100.0	24.0	grid1
E104	96.0	24.0	grid1
E105	92.0	24.0	grid1
E106	88.0	24.0	grid1
E107	84.0	24.0	grid1
E108	80.0	24.0	grid1
E109	76.0	24.0	grid1
E110	72.0	24.0	grid1
E111	68.0	24.0	grid1
E112	64.0	24.0	grid1
E113	60.0	24.0	grid1
E114	56.0	24.0	grid1
E115	52.0	24.0	grid1
E116	52.0	20.0	grid1
E117	56.0	20.0	grid1
E118	60.0	20.0	grid1
E119	64.0	20.0	grid1
E120	68.0	20.0	grid1
E121	72.0	20.0	grid1
E122	76.0	20.0	grid1
E123	80.0	20.0	grid1
E124	84.0	20.0	grid1
E125	88.0	20.0	grid1
E126	92.0	20.0	grid1
E127	96.0	20.0	grid1
E128	100.0	20.0	grid1
E129	56.0	16.0	grid1
E130	60.0	16.0	grid1
E131	64.0	16.0	grid1
E132	68.0	16.0	grid1
E133	72.0	16.0	grid1
E134	76.0	16.0	grid1
E135	80.0	16.0	grid1
E136	84.0	16.0	grid1
E137	88.0	16.0	grid1
E138	92.0	16.0	grid1
E139	96.0	16.0	grid1
E140	100.0	16.0	grid1
E141	100.0	12.0	grid1
E142	96.0	12.0	grid1
E143	92.0	12.0	grid1
E144	88.0	12.0	grid1
E145	84.0	12.0	grid1
E146	80.0	12.0	grid1
E147	76.0	12.0	grid1
E148	72.0	12.0	grid1
E149	68.0	12.0	grid1
E150	64.0	12.0	grid1
E151	60.0	12.0	grid1
E152	56.0	12.0	grid1
E153	52.0	12.0	grid1
E154	52.0	8.0	grid1
E155	56.0	8.0	grid1
E156	60.0	8.0	grid1
E157	64.0	8.0	grid1
E158	68.0	8.0	grid1
E159	72.0	8.0	grid1
E160	76.0	8.0	grid1
E161	80.0	8.0	grid1
E162	84.0	8.0	grid1
E163	88.0	8.0	grid1
E164	92.0	8.0	grid1
E165	96.0	8.0	grid1
E166	100.0	8.0	grid1
E167	100.0	4.0	grid1
E168	96.0	4.0	grid1
E169	92.0	4.0	grid1
E170	88.0	4.0	grid1
E171	84.0	4.0	grid1
E172	80.0	4.0	grid1
E173	76.0	4.0	grid1
E174	72.0	4.0	grid1
E175	68.0	4.0	grid1
E176	64.0	4.0	grid1
E177	60.0	4.0	grid1
E178	56.0	4.0	grid1
E179	52.0	4.0	grid1
E180	52.0	0.0	grid1
E181	56.0	0.0	grid1
E182	60.0	0.0	grid1
E183	64.0	0.0	grid1
E184	68.0	0.0	grid1
E185	72.0	0.0	grid1
E186	76.0	0.0	grid1
E187	80.0	0.0	grid1
E188	84.0	0.0	grid1
E189	88.0	0.0	grid1
E190	92.0	0.0	grid1
E191	96.0	0.0	grid1
E192	100.0	0.0	grid1
E193	44.0	20.0	grid1
E194	40.0	20.0	grid1
E195	36.0	20.0	grid1
E196	32.0	20.0	grid1
E197	28.0	20.0	grid1
E198	24.0	20.0	grid1
E199	20.0	20.0	grid1
E200	16.0	20.0	grid1
E201	12.0	20.0	grid1
E202	8.0	20.0	grid1
E203	4.0	20.0	grid1
E204	0.0	20.0	grid1
E205	0.0	24.0	grid1
E206	4.0	24.0	grid1
E207	8.0	24.0	grid1
E208	12.0	24.0	grid1
E209	16.0	24.0	grid1
E210	20.0	24.0	grid1
E211	24.0	24.0	grid1
E212	28.0	24.0	grid1
E213	32.0	24.0	grid1
E214	36.0	24.0	grid1
E215	40.0	24.0	grid1
E216	44.0	24.0	grid1
E217	48.0	24.0	grid1
E218	48.0	28.0	grid1
E219	44.0	28.0	grid1
E220	40.0	28.0	grid1
E221	36.0	28.0	grid1
E222	32.0	28.0	grid1
E223	28.0	28.0	grid1
E224	24.0	28.0	grid1
E225	20.0	28.0	grid1
E226	16.0	28.0	grid1
E227	12.0	28.0	grid1
E228	8.0	28.0	grid1
E229	4.0	28.0	grid1
E230	0.0	28.0	grid1
E231	0.0	32.0	grid1
E232	4.0	32.0	grid1
E233	8.0	32.0	grid1
E234	12.0	32.0	grid1
E235	16.0	32.0	grid1
E236	20.0	32.0	grid1
E237	24.0	32.0	grid1
E238	28.0	32.0	grid1
E239	32.0	32.0	grid1
E240	36.0	32.0	grid1
E241	40.0	32.0	grid1
E242	44.0	32.0	grid1
E243	48.0	32.0	grid1
E244	48.0	36.0	grid1
E245	44.0	36.0	grid1
E246	40.0	36.0	grid1
E247	36.0	36.0	grid1
E248	32.0	36.0	grid1
E249	28.0	36.0	grid1
E250	24.0	36.0	grid1
E251	20.0	36.0	grid1
E252	16.0	36.0	grid1
E253	12.0	36.0	grid1
E254	8.0	36.0	grid1
E255	4.0	36.0	grid1
E256	0.0	36.0	grid1
R1	90.0	0.0	lowerLeg
R2	95.0	0.0	lowerLeg
