onset	duration	sample	mvc_rate	mvc_level	event_type	description
11.405762	0.0	23359	n/a	n/a	muscle_on	Time at which the muscle is activated.
11.405762	16.0	23359	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 16.0 s) of the isometric torque starting at 0 % MVC.
27.405762	10.0	56127	0.0	80.0	steady_isometric	Steady isometric torque at 80% MVC for 10 s
35.405762	16.0	72511	-5.0	80.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 16.0 s) of the isometric torque starting at 80 % MVC.
51.405762	0.0	105279	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
