onset	duration	sample	mvc_rate	mvc_level	event_type	description
11.342773	0.0	23230	n/a	n/a	muscle_on	Time at which the muscle is activated.
11.342773	8.0	23230	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 8.0 s) of the isometric torque starting at 0 % MVC.
19.34375	20.0	39616	0.0	40.0	steady_isometric	Steady isometric torque at 40% MVC for 20 s
39.343262	8.0	80575	-5.0	40.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 8.0 s) of the isometric torque starting at 40 % MVC.
47.343262	0.0	96959	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
