onset	duration	sample	mvc_rate	mvc_level	event_type	description
11.030273	0.0	22590	n/a	n/a	muscle_on	Time at which the muscle is activated.
11.030273	8.0	22590	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 8.0 s) of the isometric torque starting at 0 % MVC.
19.03125	20.0	38976	0.0	40.0	steady_isometric	Steady isometric torque at 40% MVC for 20 s
39.030762	8.0	79935	-5.0	40.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 8.0 s) of the isometric torque starting at 40 % MVC.
47.030762	0.0	96319	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
